frameIdx,timestamp,height,width,motion_status,pixel_count,total_object,predClasses,confidences,bboxes,time_per_frame
7,Saturday 18 July 2020 07:20:32PM,720,1280,True,921600,11,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle']","[0.9914350509643555, 0.9440971612930298, 0.9913309812545776, 0.9956434369087219, 0.9966068863868713, 0.9773019552230835, 0.7629237771034241, 0.9902748465538025, 0.9738911986351013, 0.7953301072120667, 0.8141798973083496]","[(315, 174, 52, 128), (879, 181, 63, 104), (171, 207, 58, 117), (19, 361, 65, 170), (1037, 461, 74, 168), (655, 588, 104, 127), (772, -1, 20, 35), (859, -4, 36, 74), (903, 1, 41, 85), (369, 122, 37, 94), (879, 225, 36, 66)]",0.5086712837219238
14,Saturday 18 July 2020 07:20:33PM,720,1280,True,921600,13,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[0.7491459846496582, 0.9789232015609741, 0.822583019733429, 0.9809187650680542, 0.9925833344459534, 0.6142860651016235, 0.9964924454689026, 0.980368971824646, 0.7828860282897949, 0.8519396781921387, 0.9019306898117065, 0.9855718612670898, 0.9368312358856201]","[(887, 2, 59, 93), (328, 171, 49, 130), (887, 176, 60, 106), (193, 198, 55, 113), (48, 351, 63, 149), (-1, 445, 36, 180), (1058, 445, 68, 189), (694, 564, 99, 154), (766, -3, 34, 42), (654, -3, 31, 84), (864, -4, 36, 75), (899, 1, 42, 92), (359, 124, 32, 91)]",0.3392343521118164
21,Saturday 18 July 2020 07:20:33PM,720,1280,True,921600,11,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[0.9899243116378784, 0.7667087912559509, 0.9938232898712158, 0.9950276017189026, 0.9480098485946655, 0.9950652122497559, 0.9877830743789673, 0.8756022453308105, 0.9202173948287964, 0.6948942542076111, 0.6035737991333008]","[(334, 145, 45, 140), (896, 168, 59, 99), (206, 179, 59, 127), (68, 339, 78, 145), (9, 444, 66, 147), (1066, 432, 73, 163), (725, 529, 87, 192), (765, -2, 33, 43), (661, -2, 39, 79), (909, -1, 33, 73), (883, -7, 41, 107)]",0.3444676399230957
28,Saturday 18 July 2020 07:20:33PM,720,1280,True,921600,13,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'handbag']","[0.9799074530601501, 0.9946123957633972, 0.9963850378990173, 0.9844832420349121, 0.9957992434501648, 0.9876092076301575, 0.928560733795166, 0.7201745510101318, 0.9452391862869263, 0.7057533860206604, 0.7773271799087524, 0.6894100308418274, 0.6318485140800476]","[(331, 151, 56, 129), (230, 178, 53, 120), (90, 324, 61, 148), (47, 430, 81, 154), (1082, 422, 70, 167), (752, 512, 109, 209), (764, -3, 34, 46), (913, -6, 33, 73), (885, 14, 41, 85), (317, 137, 33, 76), (921, 161, 44, 84), (897, 212, 41, 56), (824, 642, 44, 51)]",0.37061643600463867
35,Saturday 18 July 2020 07:20:34PM,720,1280,True,130918,17,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person']","[0.6734892725944519, 0.9570698142051697, 0.8405086994171143, 0.9678099751472473, 0.9785051941871643, 0.9836406111717224, 0.9911367297172546, 0.9465543627738953, 0.6715099811553955, 0.9401530027389526, 0.9245297312736511, 0.9803655743598938, 0.7372123599052429, 0.8939841985702515, 0.8980357050895691, 0.6530323028564453, 0.6057759523391724]","[(292, 141, 49, 99), (348, 149, 50, 123), (913, 152, 62, 103), (247, 172, 52, 125), (119, 314, 61, 152), (88, 417, 53, 152), (1098, 409, 75, 162), (793, 477, 98, 222), (859, 1, 21, 17), (763, -2, 35, 47), (925, 0, 30, 59), (878, 15, 38, 85), (1203, 133, 46, 80), (303, 149, 37, 84), (925, 151, 46, 100), (910, 201, 28, 58), (1190, 192, 49, 77)]",0.33740973472595215
42,Saturday 18 July 2020 07:20:34PM,720,1280,True,107118,18,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[0.9484971165657043, 0.8303981423377991, 0.9236686825752258, 0.6487526893615723, 0.9921025633811951, 0.9926031231880188, 0.9893825650215149, 0.9740188121795654, 0.9046260714530945, 0.703384280204773, 0.9109144806861877, 0.9285560250282288, 0.9763929843902588, 0.9536805748939514, 0.9854468107223511, 0.6315541863441467, 0.6252769231796265, 0.7792561054229736]","[(348, 143, 52, 121), (921, 149, 64, 99), (263, 164, 54, 121), (1179, 191, 64, 91), (131, 300, 67, 136), (117, 405, 67, 157), (1111, 398, 71, 171), (817, 473, 84, 193), (893, 642, 143, 76), (856, 0, 22, 23), (761, -3, 34, 52), (897, -4, 36, 58), (933, -2, 37, 57), (683, -1, 28, 65), (870, 21, 41, 82), (1202, 136, 44, 70), (354, 142, 41, 120), (931, 153, 44, 89)]",0.34062695503234863
49,Saturday 18 July 2020 07:20:34PM,720,1280,True,83148,18,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'handbag']","[0.8748106360435486, 0.9062500596046448, 0.9152404069900513, 0.9738578796386719, 0.9635132551193237, 0.9938931465148926, 0.8178087472915649, 0.9666416049003601, 0.8553950190544128, 0.9468393921852112, 0.9817566275596619, 0.9516124725341797, 0.9202701449394226, 0.9408393502235413, 0.8505546450614929, 0.7500329613685608, 0.7072432041168213, 0.6150617599487305]","[(928, 140, 62, 97), (248, 151, 48, 121), (360, 136, 48, 119), (286, 166, 63, 113), (156, 292, 58, 127), (1119, 387, 71, 153), (153, 401, 75, 146), (836, 441, 84, 204), (925, 616, 101, 101), (760, -2, 34, 55), (903, -2, 34, 50), (937, -1, 34, 53), (691, -2, 25, 65), (861, 23, 37, 83), (1198, 145, 39, 55), (261, 162, 36, 98), (923, 188, 38, 55), (1118, 433, 20, 24)]",0.3349769115447998
56,Saturday 18 July 2020 07:20:35PM,720,1280,True,77319,21,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle']","[0.8235484957695007, 0.8318418860435486, 0.9720624685287476, 0.8126200437545776, 0.9715753197669983, 0.9088491797447205, 0.994573175907135, 0.9980424642562866, 0.9023281335830688, 0.9587697386741638, 0.9072992205619812, 0.9768282771110535, 0.7595317959785461, 0.7966175079345703, 0.8766191601753235, 0.6945450305938721, 0.8157019019126892, 0.660338819026947, 0.9200013875961304, 0.9315537810325623, 0.657996416091919]","[(372, 134, 51, 109), (935, 134, 60, 101), (234, 160, 49, 110), (307, 159, 53, 108), (174, 281, 54, 114), (190, 384, 53, 145), (1131, 381, 64, 155), (865, 414, 84, 207), (7, 538, 71, 166), (960, 593, 101, 126), (756, -2, 34, 55), (908, -4, 38, 49), (946, -1, 30, 48), (695, -4, 27, 67), (851, 26, 39, 90), (1194, 143, 42, 66), (376, 129, 41, 115), (948, 130, 40, 111), (245, 163, 39, 107), (312, 150, 40, 128), (932, 188, 34, 50)]",0.3327944278717041
63,Saturday 18 July 2020 07:20:35PM,720,1280,True,74321,25,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'backpack', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person', 'person', 'handbag', 'handbag']","[0.8839342594146729, 0.9412474036216736, 0.902684211730957, 0.9390069246292114, 0.9934735298156738, 0.996833086013794, 0.9829858541488647, 0.9827659130096436, 0.7997536063194275, 0.7222224473953247, 0.9132721424102783, 0.9741014838218689, 0.93314528465271, 0.9270029067993164, 0.8267210125923157, 0.9257705807685852, 0.928639829158783, 0.6295655965805054, 0.7754765152931213, 0.8318302631378174, 0.7505672574043274, 0.7514210343360901, 0.614189088344574, 0.7659989595413208, 0.7602329850196838]","[(384, 125, 49, 128), (938, 127, 61, 99), (215, 162, 52, 107), (326, 153, 51, 112), (184, 266, 57, 137), (216, 383, 75, 146), (1144, 369, 59, 154), (887, 386, 79, 236), (36, 544, 75, 101), (-4, 529, 49, 169), (36, 519, 81, 195), (980, 574, 90, 144), (702, -4, 30, 57), (750, -5, 34, 62), (910, -2, 39, 43), (949, 0, 34, 45), (846, 27, 38, 88), (387, 133, 41, 84), (948, 126, 49, 96), (1189, 155, 43, 61), (937, 175, 32, 54), (223, 158, 35, 116), (328, 148, 40, 127), (183, 341, 17, 29), (937, 498, 33, 51)]",0.3368244171142578
70,Saturday 18 July 2020 07:20:36PM,720,1280,True,79735,22,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'handbag']","[0.7367164492607117, 0.8392341732978821, 0.9062424302101135, 0.9831897616386414, 0.9935141205787659, 0.9611502289772034, 0.994817852973938, 0.9772279262542725, 0.9794197678565979, 0.8779706358909607, 0.9201686978340149, 0.8567283153533936, 0.9385569095611572, 0.8215718269348145, 0.9278279542922974, 0.96770840883255, 0.9088680148124695, 0.74736088514328, 0.6701393127441406, 0.9900210499763489, 0.8231600522994995, 0.7604814767837524]","[(839, 14, 48, 109), (942, 124, 61, 97), (341, 148, 47, 106), (202, 176, 54, 108), (205, 259, 56, 135), (251, 371, 60, 138), (1145, 357, 64, 156), (901, 374, 76, 181), (3, 500, 53, 183), (68, 500, 75, 200), (1008, 557, 78, 152), (709, -2, 30, 55), (923, -2, 40, 42), (952, -1, 34, 44), (743, -2, 31, 64), (839, 30, 39, 88), (400, 124, 41, 78), (954, 126, 43, 87), (1178, 157, 43, 63), (342, 147, 44, 103), (941, 172, 41, 53), (199, 334, 15, 29)]",0.33737874031066895
77,Saturday 18 July 2020 07:20:36PM,720,1280,True,84858,20,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person', 'person']","[0.9621455669403076, 0.9359135031700134, 0.873552143573761, 0.9872548580169678, 0.9886587858200073, 0.9898602962493896, 0.993908703327179, 0.9751608967781067, 0.9294909238815308, 0.9418357610702515, 0.672740638256073, 0.8852496147155762, 0.8701581358909607, 0.9363387823104858, 0.9520405530929565, 0.9727107882499695, 0.7026770114898682, 0.8260726928710938, 0.9036853909492493, 0.7352080345153809]","[(355, 145, 50, 107), (178, 178, 53, 112), (1160, 162, 64, 149), (220, 250, 56, 129), (281, 363, 52, 134), (1153, 345, 64, 150), (904, 363, 83, 196), (25, 491, 79, 171), (93, 498, 93, 184), (1018, 541, 81, 172), (787, 0, 20, 19), (929, -3, 37, 41), (954, -2, 35, 43), (737, -1, 32, 65), (830, 34, 39, 87), (414, 120, 42, 82), (968, 117, 45, 90), (949, 161, 35, 56), (359, 146, 44, 101), (188, 169, 35, 125)]",0.3450660705566406
84,Saturday 18 July 2020 07:20:36PM,720,1280,True,81654,21,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person', 'person', 'handbag']","[0.8117696046829224, 0.9187654256820679, 0.8160975575447083, 0.9953477382659912, 0.9873573184013367, 0.9917043447494507, 0.9971635937690735, 0.9910688400268555, 0.9775420427322388, 0.9869497418403625, 0.7552537322044373, 0.7625771760940552, 0.9778878688812256, 0.8375556468963623, 0.9570950865745544, 0.8770889639854431, 0.7989926338195801, 0.722895622253418, 0.850196361541748, 0.6170480251312256, 0.6476802825927734]","[(962, 118, 60, 90), (163, 182, 49, 118), (1158, 167, 62, 135), (229, 241, 54, 132), (1158, 334, 65, 150), (306, 357, 70, 136), (928, 338, 75, 193), (52, 459, 78, 194), (127, 461, 74, 210), (1036, 513, 75, 186), (940, -4, 27, 39), (953, -1, 41, 34), (730, 1, 36, 67), (822, 35, 40, 87), (427, 114, 41, 82), (971, 117, 48, 87), (378, 138, 38, 93), (959, 159, 29, 53), (169, 182, 33, 122), (1151, 240, 43, 83), (973, 441, 37, 41)]",0.34167051315307617
91,Saturday 18 July 2020 07:20:37PM,720,1280,True,79581,20,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle', 'person', 'person']","[0.8562858700752258, 0.9360009431838989, 0.9938644170761108, 0.8680621385574341, 0.9846087694168091, 0.9908956289291382, 0.9737287163734436, 0.9941264986991882, 0.8542912006378174, 0.9375910758972168, 0.6146978139877319, 0.8661453127861023, 0.7088888883590698, 0.9717352986335754, 0.9713138341903687, 0.9809215068817139, 0.8070510029792786, 0.601935625076294, 0.8543661832809448, 0.7403926253318787]","[(969, 110, 60, 92), (140, 194, 49, 120), (248, 230, 50, 131), (1137, 245, 57, 94), (335, 346, 56, 132), (939, 327, 72, 164), (1171, 328, 60, 142), (90, 456, 71, 175), (151, 458, 75, 169), (1042, 497, 101, 208), (780, -1, 27, 25), (860, 0, 30, 38), (947, 1, 49, 29), (726, 0, 31, 70), (816, 40, 36, 90), (440, 109, 44, 77), (977, 113, 45, 83), (965, 150, 30, 51), (148, 196, 38, 119), (1143, 255, 47, 80)]",0.3441770076751709
98,Saturday 18 July 2020 07:20:37PM,720,1280,True,78787,18,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bicycle']","[0.8287355899810791, 0.9039871692657471, 0.994988739490509, 0.9859206676483154, 0.9752799868583679, 0.9281522631645203, 0.9478314518928528, 0.9888449907302856, 0.9878494739532471, 0.9400743246078491, 0.931521475315094, 0.6738829016685486, 0.9654987454414368, 0.9848276972770691, 0.975684642791748, 0.8170877695083618, 0.842251718044281, 0.9368772506713867]","[(974, 103, 57, 92), (117, 207, 50, 115), (259, 219, 42, 123), (355, 341, 61, 125), (946, 300, 70, 188), (1175, 324, 57, 140), (120, 436, 68, 186), (185, 436, 69, 189), (1063, 476, 75, 186), (859, 633, 106, 83), (854, 1, 39, 39), (954, 1, 47, 28), (715, -1, 38, 73), (804, 46, 39, 88), (454, 103, 38, 77), (979, 109, 43, 78), (404, 125, 38, 77), (970, 148, 40, 51)]",0.34839653968811035
